step,from,to
1,0,118
2,118,8
3,8,119
4,119,9
5,9,118
6,118,236
7,236,116
8,116,234
9,234,115
10,115,235
11,235,117
12,117,11
13,11,123
14,123,10
15,10,120
16,120,9
17,9,121
18,121,10
19,10,119
20,119,11
21,11,125
22,125,12
23,12,120
24,120,11
25,11,121
26,121,12
27,12,124
28,124,11
29,11,122
30,122,10
31,10,117
32,117,234
33,234,110
34,110,7
35,7,107
36,107,5
37,5,106
38,106,6
39,6,107
40,107,4
41,4,104
42,104,5
43,5,105
44,105,6
45,6,116
46,116,235
47,235,114
48,114,233
49,233,112
50,112,235
51,235,113
52,113,9
53,9,122
54,122,12
55,12,126
56,126,223
57,223,125
58,125,222
59,222,126
60,126,13
61,13,118
62,118,235
63,235,111
64,111,232
65,232,104
66,104,3
67,3,103
68,103,4
69,4,106
70,106,231
71,231,102
72,102,2
73,2,103
74,103,5
75,5,110
76,110,233
77,233,108
78,108,234
79,234,114
80,114,236
81,236,115
82,115,237
83,237,133
84,133,0
85,0,136
86,136,1
87,1,134
88,134,238
89,238,129
90,129,232
91,232,112
92,112,6
93,6,104
94,104,231
95,231,114
96,114,11
97,11,113
98,113,233
99,233,105
100,105,4
101,4,102
102,102,3
103,3,106
104,106,7
105,7,117
106,117,8
107,8,116
108,116,233
109,233,107
110,107,232
111,232,115
112,115,8
113,8,120
114,120,237
115,237,117
116,117,236
117,236,127
118,127,234
119,234,109
120,109,233
121,233,132
122,132,239
123,239,128
124,128,236
125,236,119
126,119,239
127,239,135
128,135,238
129,238,118
130,118,239
131,239,136
132,136,2
133,2,137
134,137,1
135,1,135
136,135,3
137,3,99
138,99,229
139,229,131
140,131,230
141,230,100
142,100,231
143,231,111
144,111,8
145,8,112
146,112,7
147,7,113
148,113,234
149,234,133
150,133,232
151,232,105
152,105,2
153,2,99
154,99,230
155,230,132
156,132,228
157,228,98
158,98,1
159,1,95
160,95,227
161,227,131
162,131,0
163,0,119
164,119,237
165,237,132
166,132,232
167,232,108
168,108,8
169,8,107
170,107,5
171,5,111
172,111,3
173,3,103
174,103,232
175,232,109
176,109,6
177,6,118
178,118,11
179,11,126
180,126,224
181,224,125
182,125,221
183,221,124
184,124,220
185,220,123
186,123,238
187,238,117
188,117,239
189,239,115
190,115,15
191,15,125
192,125,235
193,235,117
194,117,11
195,11,108
196,108,7
197,7,116
198,116,237
199,237,123
200,123,12
201,12,114
202,114,10
203,10,113
204,113,232
205,232,134
206,134,18
207,18,131
208,131,16
209,16,128
210,128,227
211,227,130
212,130,226
213,226,127
214,127,228
215,228,99
216,99,227
217,227,132
218,132,234
219,234,112
220,112,10
221,10,120
222,120,13
223,13,104
224,104,4
225,4,122
226,122,14
227,14,105
228,105,0
229,0,102
230,102,186
231,186,100
232,100,229
233,229,126
234,126,225
235,225,127
236,127,13
237,13,124
238,124,222
239,222,122
240,122,236
241,236,135
242,135,0
243,0,137
244,137,5
245,5,121
246,121,237
247,237,130
248,130,225
249,225,93
250,93,182
251,182,91
252,91,181
253,181,83
254,83,178
255,178,78
256,78,176
257,176,74
258,74,177
259,177,73
260,73,174
261,174,70
262,70,164
263,164,69
264,69,165
265,165,68
266,68,163
267,163,67
268,67,173
269,173,70
270,70,165
271,165,72
272,72,175
273,175,69
274,69,163
275,163,66
276,66,164
277,164,65
278,65,162
279,162,64
280,64,164
281,164,71
282,71,175
283,175,73
284,73,176
285,176,76
286,76,175
287,175,75
288,75,174
289,174,69
290,69,172
291,172,72
292,72,177
293,177,81
294,81,178
295,178,82
296,82,180
297,180,89
298,89,171
299,171,69
300,69,176
301,176,70
302,70,170
303,170,84
304,84,142
305,142,3
306,3,97
307,97,228
308,228,130
309,130,238
310,238,119
311,119,12
312,12,103
313,103,231
314,231,110
315,110,20
316,20,124
317,124,19
318,19,125
319,125,14
320,14,133
321,133,238
322,238,116
323,116,15
324,15,122
325,122,237
326,237,118
327,118,7
328,7,111
329,111,21
330,21,125
331,125,227
332,227,97
333,97,0
334,0,120
335,120,239
336,239,101
337,101,185
338,185,102
339,102,1
340,1,96
341,96,2
342,2,106
343,106,233
344,233,126
345,126,14
346,14,114
347,114,233
348,233,133
349,133,230
350,230,102
351,102,239
352,239,123
353,123,219
354,219,129
355,129,1
356,1,139
357,139,17
358,17,122
359,122,238
360,238,114
361,114,13
362,13,128
363,128,225
364,225,124
365,124,215
366,215,111
367,111,4
368,4,116
369,116,9
370,9,138
371,138,10
372,10,146
373,146,12
374,12,115
375,115,233
376,233,131
377,131,15
378,15,105
379,105,18
380,18,117
381,117,5
382,5,143
383,143,7
384,7,136
385,136,5
386,5,106
387,106,16
388,16,133
389,133,229
390,229,98
391,98,2
392,2,140
393,140,84
394,84,178
395,178,77
396,77,179
397,179,80
398,80,167
399,167,76
400,76,178
401,178,75
402,75,167
403,167,78
404,78,177
405,177,79
406,79,167
407,167,82
408,82,169
409,169,55
410,55,160
411,160,57
412,57,162
413,162,59
414,59,171
415,171,67
416,67,160
417,160,52
418,52,159
419,159,50
420,50,157
421,157,43
422,43,158
423,158,45
424,45,155
425,155,98
426,98,156
427,156,100
428,100,3
429,3,137
430,137,20
431,20,122
432,122,13
433,13,130
434,130,6
435,6,128
436,128,14
437,14,121
438,121,22
439,22,123
440,123,214
441,214,113
442,113,12
443,12,109
444,109,2
445,2,125
446,125,29
447,29,135
448,135,31
449,31,128
450,128,229
451,229,132
452,132,231
453,231,112
454,112,212
455,212,122
456,122,211
457,211,108
458,108,10
459,10,125
460,125,6
461,6,110
462,110,214
463,214,108
464,108,212
465,212,123
466,123,14
467,14,119
468,119,235
469,235,109
470,109,19
471,19,106
472,106,232
473,232,131
474,131,12
475,12,127
476,127,223
477,223,122
478,122,23
479,23,127
480,127,224
481,224,91
482,91,183
483,183,93
484,93,181
485,181,87
486,87,158
487,158,47
488,47,156
489,156,88
490,88,158
491,158,46
492,46,156
493,156,80
494,80,163
495,163,65
496,65,159
497,159,48
498,48,165
499,165,71
500,71,174
501,174,68
502,68,173
503,173,72
504,72,154
505,154,74
506,74,166
507,166,70
508,70,175
509,175,68
510,68,164
511,164,90
512,90,181
513,181,86
514,86,148
515,148,12
516,12,118
517,118,15
518,15,127
519,127,236
520,236,126
521,126,16
522,16,115
523,115,5
524,5,142
525,142,94
526,94,1
527,1,120
528,120,218
529,218,122
530,122,21
531,21,124
532,124,226
533,226,131
534,131,17
535,17,115
536,115,238
537,238,129
538,129,0
539,0,95
540,95,226
541,226,94
542,94,184
543,184,99
544,99,1
545,1,105
546,105,3
547,3,134
548,134,16
549,16,138
550,138,2
551,2,142
552,142,85
553,85,140
554,140,19
555,19,141
556,141,21
557,21,121
558,121,234
559,234,111
560,111,9
561,9,137
562,137,8
563,8,119
564,119,9
565,9,123
566,123,5
567,5,104
568,104,189
569,189,102
570,102,188
571,188,101
572,101,7
573,7,145
574,145,8
575,8,144
576,144,6
577,6,114
578,114,216
579,216,128
580,128,231
581,231,101
582,101,0
583,0,132
584,132,20
585,20,139
586,139,10
587,10,122
588,122,213
589,213,112
590,112,22
591,22,129
592,129,220
593,220,121
594,121,15
595,15,109
596,109,35
597,35,110
598,110,17
599,17,106
600,106,230
601,230,115
602,115,10
603,10,124
604,124,1
605,1,97
606,97,155
607,155,77
608,77,176
609,176,71
610,71,168
611,168,47
612,47,167
613,167,51
614,51,160
615,160,53
616,53,158
617,158,55
618,55,161
619,161,56
620,56,168
621,168,67
622,67,161
623,161,60
624,60,149
625,149,86
626,86,161
627,161,54
628,54,186
629,186,75
630,75,179
631,179,79
632,79,168
633,168,46
634,46,166
635,166,60
636,60,170
637,170,72
638,72,164
639,164,51
640,51,157
641,157,99
642,99,155
643,155,100
644,100,228
645,228,131
646,131,220
647,220,133
648,133,231
649,231,129
650,129,14
651,14,124
652,124,0
653,0,96
654,96,3
655,3,112
656,112,225
657,225,114
658,114,197
659,197,113
660,113,236
661,236,121
662,121,18
663,18,116
664,116,236
665,236,131
666,131,231
667,231,105
668,105,16
669,16,122
670,122,210
671,210,120
672,120,208
673,208,105
674,105,19
675,19,117
676,117,9
677,9,139
678,139,83
679,83,157
680,157,49
681,49,159
682,159,79
683,79,163
684,163,91
685,91,171
686,171,60
687,60,167
688,167,52
689,52,164
690,164,74
691,74,185
692,185,100
693,100,159
694,159,89
695,89,158
696,158,98
697,98,227
698,227,111
699,111,36
700,36,109
701,109,14
702,14,127
703,127,207
704,207,106
705,106,188
706,188,76
707,76,160
708,160,84
709,84,143
710,143,97
711,97,2
712,2,129
713,129,230
714,230,135
715,135,2
716,2,141
717,141,90
718,90,223
719,223,134
720,134,231
721,231,107
722,107,34
723,34,110
724,110,210
725,210,123
726,123,221
727,221,133
728,133,27
729,27,121
730,121,17
731,17,129
732,129,9
733,9,107
734,107,33
735,33,108
736,108,215
737,215,130
738,130,239
739,239,128
740,128,12
741,12,145
742,145,3
743,3,110
744,110,212
745,212,131
746,131,27
747,27,124
748,124,6
749,6,143
750,143,63
751,63,151
752,151,66
753,66,162
754,162,58
755,58,189
756,189,75
757,75,173
758,173,83
759,83,140
760,140,17
761,17,117
762,117,234
763,234,107
764,107,209
765,209,120
766,120,4
767,4,112
768,112,38
769,38,165
770,165,73
771,73,173
772,173,78
773,78,161
774,161,61
775,61,170
776,170,54
777,54,177
778,177,71
779,71,156
780,156,81
781,81,154
782,154,98
783,98,185
784,185,53
785,53,170
786,170,59
787,59,183
788,183,89
789,89,172
790,172,80
791,80,162
792,162,44
793,44,158
794,158,78
795,78,179
796,179,82
797,82,143
798,143,85
799,85,156
800,156,97
801,97,167
802,167,43
803,43,161
804,161,87
805,87,159
806,159,63
807,63,172
808,172,70
809,70,168
810,168,81
811,81,159
812,159,64
813,64,151
814,151,99
815,99,19
816,19,123
817,123,13
818,13,133
819,133,235
820,235,134
821,134,229
822,229,111
823,111,23
824,23,120
825,120,20
826,20,111
827,111,236
828,236,120
829,120,207
830,207,129
831,129,218
832,218,121
833,121,13
834,13,125
835,125,226
836,226,92
837,92,224
838,224,123
839,123,16
840,16,120
841,120,206
842,206,128
843,128,237
844,237,114
845,114,3
846,3,98
847,98,223
848,223,124
849,124,28
850,28,107
851,107,30
852,30,110
853,110,38
854,38,157
855,157,44
856,44,167
857,167,57
858,57,182
859,182,52
860,52,169
861,169,49
862,49,165
863,165,39
864,39,156
865,156,89
866,89,176
867,176,79
868,79,180
869,180,77
870,77,191
871,191,61
872,61,149
873,149,9
874,9,112
875,112,25
876,25,101
877,101,1
878,1,103
879,103,187
880,187,56
881,56,185
882,185,75
883,75,152
884,152,94
885,94,0
886,0,128
887,128,18
888,18,111
889,111,211
890,211,132
891,132,219
892,219,122
893,122,7
894,7,109
895,109,32
896,32,108
897,108,213
898,213,123
899,123,1
900,1,119
901,119,18
902,18,123
903,123,209
904,209,130
905,130,221
906,221,119
907,119,204
908,204,127
909,127,234
910,234,116
911,116,231
912,231,108
913,108,216
914,216,125
915,125,214
916,214,129
917,129,226
918,226,137
919,137,11
920,11,147
921,147,13
922,13,115
923,115,234
924,234,135
925,135,9
926,9,126
927,126,217
928,217,117
929,117,201
930,201,116
931,116,6
932,6,104
933,104,17
934,17,107
935,107,23
936,23,125
937,125,232
938,232,126
939,126,15
940,15,133
941,133,218
942,218,109
943,109,230
944,230,104
945,104,14
946,14,116
947,116,215
948,215,128
949,128,230
950,230,98
951,98,157
952,157,82
953,82,161
954,161,63
955,63,162
956,162,76
957,76,187
958,187,60
959,60,162
960,162,77
961,77,170
962,170,55
963,55,168
964,168,84
965,84,139
966,139,8
967,8,136
968,136,4
969,4,107
970,107,35
971,35,155
972,155,84
973,84,166
974,166,40
975,40,112
976,112,222
977,222,90
978,90,159
979,159,66
980,66,152
981,152,69
982,69,173
983,173,51
984,51,181
985,181,58
986,58,184
987,184,73
988,73,166
989,166,54
990,54,176
991,176,68
992,68,160
993,160,101
994,101,26
995,26,130
996,130,218
997,218,132
998,132,17
999,17,149
1000,149,88
1001,88,162
1002,162,41
1003,41,117
1004,117,3
1005,3,107
1006,107,32
1007,32,126
1008,126,24
1009,24,112
1010,112,224
1011,224,93
1012,93,227
1013,227,96
1014,96,145
1015,145,11
1016,11,151
1017,151,62
1018,62,192
1019,192,63
1020,63,148
1021,148,87
1022,87,151
1023,151,24
1024,24,122
1025,122,28
1026,28,133
1027,133,239
1028,239,95
1029,95,142
1030,142,81
1031,81,176
1032,176,100
1033,100,21
1034,21,149
1035,149,13
1036,13,108
1037,108,31
1038,31,125
1039,125,5
1040,5,141
1041,141,57
1042,57,178
1043,178,55
1044,55,188
1045,188,57
1046,57,166
1047,166,61
1048,61,169
1049,169,72
1050,72,174
1051,174,80
1052,80,192
1053,192,75
1054,75,160
1055,160,83
1056,83,196
1057,196,113
1058,113,6
1059,6,108
1060,108,37
1061,37,110
1062,110,209
1063,209,129
1064,129,206
1065,206,131
1066,131,1
1067,1,138
1068,138,8
1069,8,146
1070,146,95
1071,95,2
1072,2,100
1073,100,6
1074,6,136
1075,136,1
1076,1,106
1077,106,210
1078,210,109
1079,109,229
1080,229,103
1081,103,0
1082,0,117
1083,117,219
1084,219,120
1085,120,222
1086,222,130
1087,130,203
1088,203,126
1089,126,30
1090,30,109
1091,109,215
1092,215,113
1093,113,195
1094,195,75
1095,75,184
1096,184,54
1097,54,158
1098,158,84
1099,84,156
1100,156,30
1101,30,123
1102,123,17
1103,17,134
1104,134,0
1105,0,104
1106,104,187
1107,187,101
1108,101,24
1109,24,111
1110,111,193
1111,193,59
1112,59,186
1113,186,61
1114,61,185
1115,185,73
1116,73,150
1117,150,62
1118,62,163
1119,163,50
1120,50,169
1121,169,81
1122,81,179
1123,179,48
1124,48,170
1125,170,89
1126,89,141
1127,141,91
1128,91,223
1129,223,116
1130,116,17
1131,17,124
1132,124,218
1133,218,119
1134,119,205
1135,205,117
1136,117,42
1137,42,157
1138,157,34
1139,34,108
1140,108,1
1141,1,121
1142,121,235
1143,235,114
1144,114,23
1145,23,150
1146,150,65
1147,65,160
1148,160,64
1149,64,180
1150,180,60
1151,60,188
1152,188,64
1153,64,174
1154,174,84
1155,84,150
1156,150,13
1157,13,129
1158,129,213
1159,213,109
1160,109,5
1161,5,116
1162,116,206
1163,206,126
1164,126,28
1165,28,109
1166,109,33
1167,33,110
1168,110,236
1169,236,133
1170,133,217
1171,217,121
1172,121,211
1173,211,130
1174,130,224
1175,224,113
1176,113,25
1177,25,123
1178,123,222
1179,222,133
1180,133,21
1181,21,127
1182,127,227
1183,227,115
1184,115,43
1185,43,172
1186,172,79
1187,79,158
1188,158,67
1189,67,200
1190,200,84
1191,84,147
1192,147,92
1193,92,184
1194,184,78
1195,78,190
1196,190,63
1197,63,158
1198,158,101
1199,101,2
1200,2,143
1201,143,86
1202,86,182
1203,182,50
1204,50,164
1205,164,37
1206,37,112
1207,112,237
1208,237,113
1209,113,8
1210,8,134
